iso3,country,framework,report_title,report_date,publication_url,pdf_sha256,metric,year,value,unit,pdf_page,printed_page,table_ref,definition_basis,debt_perimeter,incl_central_bank,incl_guarantees,incl_nonguaranteed_soe,domestic_fx_linked_flag,is_proxy,proxy_source,extraction_method,confidence,notes
CRI,Costa Rica,MAC_SRDSF,Costa Rica: Report for the 2026 Article IV Consultation and Review under the Flexible Credit Line Arrangement-Press Release; Staff Report; Informational Annex; and Statement by the Executive Director for Costa Rica,2026-06-01,https://elibrary.imf.org/view/journals/002/2026/116/002.2026.issue-116-en.xml,bc3aad44c04d9fc1e93286e231450bc8df6854c4f3fc5c193ad3b6ac62dcf5ec,fx_share,2025,35.0,pct_total_debt,66,60,Figure 2. Costa Rica: Public Debt Structure Indicators — Debt by Currency (Percent of GDP),currency,central_government,unknown,unknown,unknown,unknown,n,,figure,medium,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=aca1353623de3e146cbb3f44476bfaee4f6cadf31f3a90a6a23b592a372d182f. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/CRI.json. The upper panel is explicitly labeled “Debt by Currency (Percent of GDP)” and separates “Foreign currency” from “Local currency,” establishing a currency basis. | The figure note explicitly states: “The perimeter shown is central government.” | The projection marker begins after 2025, making 2025 the latest visibly historical actual year. | At 2025, the chart visibly indicates foreign-currency debt of approximately 21 percent of GDP and total debt of approximately 60 percent of GDP. | Visible arithmetic: approximately 21 / 60 × 100 = 35 percent of total debt in foreign currency. Values are chart estimates rather than printed data labels."
CYP,Cyprus,MAC_SRDSF,Cyprus: 2026 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for Cyprus,2026-06-01,https://elibrary.imf.org/view/journals/002/2026/145/002.2026.issue-145-en.xml,4b70780d3ad8ba5271d6f8f3295e51bd9b1f20a71e62f8e31986f4fe3eaf27f3,fx_share,2025,0.0,pct_total_debt,43,39,Table I.1. Cyprus: Risk of Sovereign Stress — DSA Summary Assessment,currency,general_government,n,unknown,n,n,n,,text,high,"TEA-878 source adjudication. Review ID 4acce61ed6fcfb30. Decision correct_value. Visible arithmetic: The source directly states a zero foreign-currency numerator, and 2025 general-government debt is positive at 55.0 percent of GDP; therefore 0 / 55.0 x 100 = 0 percent.. Evidence: PDF pages 4, 6, and 14 establish the Cyprus report identity, selected economic indicators, and outlook context. | PDF page 43, printed page 39, Table I.1's DSA Summary Assessment states that Cyprus's debt ratio fell below 60 percent in 2025 and that the debt stock has no foreign-currency debt. | PDF page 46, printed page 42, Figure I.1 labels the Debt by Currency panel general government and states that public debt is wholly denominated in local currency. | PDF page 4 reports positive 2025 general-government debt of 55.0 percent of GDP, supplying a positive denominator and ruling out a zero-debt ambiguity. | The holder and governing-law panels on PDF page 46 are not treated as currency measures; the zero is supported by the explicit DSA text and currency panel. | The DSA Summary Assessment directly states that the 2025 debt stock has no foreign-currency debt. Figure I.1 corroborates a positive general-government denominator and wholly local-currency composition. The exact zero is source-stated, not inferred from an unreadably thin figure layer."
CZE,Czech Republic,MAC_SRDSF,Czech Republic: 2026 Article IV Consultation-Press Release; Staff Report; Staff Supplement; and Statement by the Executive Director for the Czech Republic,2026-03-01,https://elibrary.imf.org/view/journals/002/2026/070/002.2026.issue-070-en.xml,87885fdf673b915680c1363dfed56d0c2f367d3714f5fde5eeb043cdcd42476b,fx_share,2024,5.9,pct_total_debt,61,55,Figure 3. Public Debt Structure Indicators — Debt by Currency,currency,general_government,unknown,unknown,unknown,unknown,n,,figure,medium,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=925698c92233b7c080c350c4f10fbc04405f376152318d3482c2cb286d8aa038. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/CZE.json. The upper panel is explicitly labeled “Debt by Currency (percent of GDP)” and separates Foreign currency, Local currency, and Local-linked debt. | The coverage note directly below the panel states: “The perimeter shown is general government.” | The projection marker begins at 2025, making 2024 the latest visibly historical actual observation. | From the plotted 2024 stack, foreign-currency debt is approximately 2.5 percent of GDP and total debt approximately 42.5 percent of GDP. | Visible arithmetic: 2.5 / 42.5 × 100 ≈ 5.9 percent of total debt. Values are estimates read from a figure, not exact tabulated observations."
DEU,Germany,MAC_SRDSF,Germany: 2025 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for Germany,2026-02-01,https://elibrary.imf.org/view/journals/002/2026/036/002.2026.issue-036-en.xml,2d39f062caf17faa66c9e48603ecd84ac1cce5ce4678a95f68779be3670a56d3,fx_share,2024,0.0,pct_total_debt,67,62,"Annex II. Figure 3. Germany: Public Debt Structure Indicators, Debt by Currency (Percent of GDP)",currency,general_government,n,n,n,y,n,,figure,medium,"TEA-878 source adjudication. Review ID 965ea2254578d2f7. Decision correct_value. Visible arithmetic: At 2024, foreign-currency debt is 0.0 percent of GDP and total general-government debt is 62.2 percent of GDP; 100 x 0.0 / 62.2 = 0.0 percent of total debt.. Evidence: PDF page 67 (printed page 62) is an explicit Debt by Currency chart and states that the perimeter is general government. | The canonical vector chart contains no foreign-currency area series at the 2024 actual point. It separately contains a visible local-linked layer, so that layer was flagged but was not reclassified as foreign currency. | PDF page 5 reports 2024 public debt of 62.2 percent of GDP, providing the positive denominator. Its external-debt figure of 147.6 percent of GDP is incompatible with the DSA debt perimeter and was not used. | PDF page 66 selects general-government coverage, excludes the central bank and public nonfinancial corporations, and reports guarantees outside the selected debt stock. | Manual source adjudication of an automatic invalid-arithmetic abstention. The exact zero is supported by the canonical vector chart, but confidence remains medium under schema v0's figure-read cap; no validator, schema, source, or gold-set gate was changed."
DJI,Djibouti,LIC_DSF,Djibouti: 2025 Article IV Consultation-Press Release; and Staff Report,2025-09-22,https://elibrary.imf.org/view/journals/002/2025/276/002.2025.issue-276-en.xml,86e4f81da8aaecc5e27f2f44f1656f04e232363d72ae882d6eb3169362654dba,fx_share,2024,100.0,pct_total_debt,63,12,"Table 2. Djibouti: Public Sector Debt Sustainability Framework, Baseline Scenario, 2022–2045",residency,central_government,y,y,n,unknown,y,external_share_residency,table,medium,"TEA-878 source adjudication. Review ID c0c5a0ec2713af17. Decision correct_value. Visible arithmetic: 68.9 / 68.9 x 100 = 100.0 percent.. Evidence: PDF page 63 (printed page 12), Table 2, marks 2024 as Actual and reports public-sector debt of 68.9 percent of GDP and its subordinate external-debt row also at 68.9 percent of GDP. | The page defines external debt on a residency basis and says there is no material difference between residency and currency criteria. | Table 2 footnote 1 covers the central government, central bank, and government-guaranteed debt. | PDF page 53 states that the DSA captures central-government debt and guarantees on SOE external debt, while non-guaranteed SOE debt is outside the captured perimeter. | No IDS value or non-DSA external-debt carrier is used. | Latest actual is 2024. The table's parent and child rows are both 68.9 percent of GDP. Retain 100.0 only as an explicit residency proxy; the table's no-material-difference statement does not turn the residency carrier into a direct currency measure."
DMA,Dominica,LIC_DSF,Dominica: 2026 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for Dominica,2026-06-01,https://elibrary.imf.org/view/journals/002/2026/117/002.2026.issue-117-en.xml,a229b2ac1fbd7e2886338e29c6e2fbace286ef284303c9834bd8fb584955fdb3,fx_share,2024,66.8,pct_total_debt,82,15,"Table 3. Dominica: Public Sector Debt Sustainability Framework, 2022–45",residency,central_government,n,y,n,unknown,y,external_share_residency,table,medium,"TEA-878 source adjudication. Review ID a2aca175bf4d308c. Decision correct_value. Visible arithmetic: 72.3 / 108.2 x 100 = 66.8207 percent, which rounds to 66.8 under the dataset's one-decimal convention.. Evidence: PDF page 82 (printed page 15), Table 3, marks 2024 as Actual and reports public-sector debt of 108.2 percent of GDP and its subordinate external-debt row at 72.3 percent of GDP. | The page defines external debt on a residency basis and says there is no material difference between residency and currency criteria. | Table 3 footnote 1 covers central-government and government-guaranteed debt. | PDF page 69 states that public-sector debt includes central-government direct and guaranteed debt, that non-guaranteed SOE debt is excluded, and that there is no central-bank borrowing on behalf of government. | No IDS value or non-DSA external-debt carrier is used. | Latest actual is 2024. Apply the dataset's one-decimal convention to the visible parent-child ratio. Retain only as an explicit residency proxy, even though the table says the residency and currency criteria do not materially differ."
DOM,Dominican Republic,MAC_SRDSF,Dominican Republic: 2025 Article IV Consultation-Press Release; Staff Report and Statement by the Executive Director for Dominican Republic,2025-11-01,https://elibrary.imf.org/view/journals/002/2025/305/002.2025.issue-305-en.xml,c03cb9e6b70c445eab0f293dcfc095cc22b00bbc3df66ad9e6f6e08189c644be,fx_share,2024,56.8,pct_total_debt,56,50,Figure 3. Public Debt Structure Indicators — Debt by Currency,currency,public_sector,y,unknown,unknown,unknown,n,,figure,medium,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=a34e3504186cae93de47b4416e986ccb6d2e8e42997aeee7b50a2a5b3f150eb8. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/DOM.json. Candidate 3, PDF page 56 (printed page 50), Figure 3 labels the upper panel “Debt by Currency (Percent of GDP)” and separately identifies “Foreign currency” and “Local currency.” | The projection marker begins after 2024, making 2024 the latest visibly historical actual observation. The foreign-currency layer in 2024 is approximately 33.0 percent of GDP. | Candidate 5, PDF page 58 (printed page 52), Figure 4 reports actual 2024 public debt of 58.1 percent of GDP. | Visible arithmetic: approximately 33.0 / 58.1 × 100 = 56.8 percent of total debt. | Candidate 3 states that the perimeter is the consolidated public sector. Candidate 4, PDF page 57, explains that this CPS perimeter includes the NFPS plus central-bank quasi-fiscal debt."
DZA,Algeria,MAC_SRDSF,Algeria: 2025 Article IV Consultation-Press Release; and Staff Report,2025-09-01,https://elibrary.imf.org/view/journals/002/2025/270/002.2025.issue-270-en.xml,f8fc9e08c23c9820c67661c67225db8e183b41b2e6d170af8de8777f7396566d,fx_share,2024,1.0,pct_total_debt,61,54,Annex IV. Figure 3. Algeria: Public Debt Structure Indicators — commentary,currency,central_government,n,n,n,unknown,n,,text,medium,"TEA-878 source adjudication. Review ID 80f96d6c2ff67fda. Decision correct_value. Visible arithmetic: 100.0 percent total debt - approximately 99.0 percent dinar-denominated debt = approximately 1.0 percent foreign-currency debt.. Evidence: PDF pages 7 and 38 report 2024 gross government debt of 48.5 percent of GDP, excluding guarantees; the economy-wide gross external-debt row of 1.1 percent of GDP is a different aggregate and is not used. | PDF pages 23, 40, and 67 discuss the near absence of external borrowing or economy-wide external debt but do not by themselves establish the public-debt FX share. | PDF page 60 (printed page 53), Annex IV Figure 2, selects central-government DSA coverage; only budgetary central government is included, while the central bank and public corporations are excluded. | PDF page 61 (printed page 54), Annex IV Figure 3, directly charts Debt by Currency and states: around 99 percent of debt is held domestically and denominated in dinars. The same commentary places this statement in the 2024 central-government debt discussion. | Approximate direct currency observation. The figure commentary says around 99 percent of 2024 debt is denominated in dinars, implying around 1 percent in foreign currency; it is not an external-debt proxy."
ECU,Ecuador,MAC_SRDSF,"Ecuador: Fifth Review Under the Extended Arrangement Under the Extended Fund Facility, Requests for Waivers of Nonobservance of Performance Criteria, Modification of Performance Criteria, and Financing Assurances Review-Press Release; Staff Report; and Statement by the Executive Director for Ecuador",2026-04-01,https://elibrary.imf.org/view/journals/002/2026/084/002.2026.issue-084-en.xml,0130d805ac923b49615fb36af997bc6539f81f3674b5e20b3101896241b5bef9,fx_share,2025,0.0,pct_total_debt,64,59,"Figure 3. Ecuador: Public Debt Structure Indicators, Debt by Currency (Percent of GDP)",currency,nfps,n,unknown,y,n,n,,figure,medium,"TEA-878 source adjudication. Review ID 60e628c8ff1b2f98. Decision correct_value. Visible arithmetic: At 2025, foreign-currency debt is 0.0 percent of GDP and total NFPS debt is 54.3 percent of GDP; 100 x 0.0 / 54.3 = 0.0 percent of total debt.. Evidence: PDF page 64 (printed page 59) is an explicit Debt by Currency chart and states that the perimeter is the nonfinancial public sector. | The canonical vector chart contains no foreign-currency area series at the 2025 actual point; the entire positive stack is local currency and the local-linked series is degenerate at zero. | PDF page 5 reports 2025 public-sector debt of 54.3 percent of GDP, providing the positive denominator. | PDF page 63 selects NFPS coverage, includes public nonfinancial corporations, and excludes the central bank. Candidate page 43 is balance-of-payments and external-debt evidence and was not substituted for currency composition. | Manual source adjudication of an automatic invalid-arithmetic abstention. The exact zero is supported by the canonical vector chart, but confidence remains medium under schema v0's figure-read cap; no validator, schema, source, or gold-set gate was changed."
EGY,Egypt,MAC_SRDSF,"Arab Republic of Egypt: Fifth and Sixth Reviews Under the Extended Arrangement Under the Extended Fund Facility and First Review Under the Resilience and Sustainability Arrangement, Requests for Rephasing of Access, Extension of the Arrangements, Waiver of Nonobservance of Performance Criterion, and Modification of Performance Criteria-Press Release; and Staff Report",2026-03-01,https://elibrary.imf.org/view/journals/002/2026/069/002.2026.issue-069-en.xml,b4abf9cb81f29df3fb1a77cf0c635b1178812b8e55ddf7da76902bd6c3befd91,fx_share,2025,35.9,pct_total_debt,56,51,Figure 3. Egypt: Public Debt Structure Indicators — Debt by Currency,currency,general_government,unknown,unknown,unknown,unknown,n,,figure,medium,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=b62bc8f5f3957c6d2f45bdce4c99904b7606cfa305c24f0a16238d8d69702bf0. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/EGY.json. The upper panel is explicitly labeled “Debt by Currency (percent of GDP)” and distinguishes Foreign currency, Local currency, and Local-linked debt. | The note directly beneath that panel states: “The perimeter shown is general government.” | The projection marker begins after 2025, making 2025 the latest visibly historical observation. | At 2025, the chart visually indicates foreign-currency debt of approximately 33 percent of GDP and total debt of approximately 92 percent of GDP. | Visible arithmetic: 33.0 ÷ 92.0 × 100 ≈ 35.9 percent of total debt. This is a currency-based direct FX share, not an external-debt proxy."
ESP,Spain,MAC_SRDSF,Spain: 2026 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for Spain,2026-05-01,https://elibrary.imf.org/view/journals/002/2026/102/002.2026.issue-102-en.xml,79c01239d538d8dbb014e8982f28445fc2ce1ec8c857602f506b6651f919ddfa,fx_share,2025,0.0,pct_total_debt,68,63,Annex III. Figure 3. Spain: Public Debt Coverage Structure Indicators — Debt by Currency,currency,general_government,n,unknown,n,n,n,,figure,medium,"TEA-878 source adjudication. Review ID 4ef42461d47028c8. Decision correct_value. Visible arithmetic: At 2025, foreign-currency debt is exactly 0.0 percent of GDP and the general-government currency-chart total is positive at about 100 percent of GDP; 100 x 0.0 / positive total = 0.0 percent of total debt.. Evidence: PDF page 68 (printed page 63) explicitly labels the selected carrier Debt by Currency and states that its perimeter is general government. | The canonical vector chart has no positive foreign-currency path at the 2025 actual point; the entire positive stack is local currency. The local-linked path is degenerate at zero in 2025. | PDF page 67 establishes general-government coverage and excludes the central bank and public nonfinancial corporations; guarantees are not established by the visible coverage fields. | Candidate page 55 states that 11.0 percent of total external debt is foreign-currency denominated. That denominator is external debt, not total public debt, so it was rejected as the DSA FX-share measure. | Candidate pages 21 and 32 provide fiscal-policy and financial-sector narrative context, not a competing currency-composition measure. | Manual source correction of a low-confidence abstention. The canonical vector chart contains no positive foreign-currency layer at the 2025 actual point, and the local-linked path is also degenerate at zero. The exact zero is recorded with a +/-0.1 percentage-point figure tolerance; confidence remains medium under schema v0's figure-read cap, and no gate was changed."
EST,Estonia,MAC_SRDSF,Republic of Estonia: 2025 Article IV Consultation-Press Release; and Staff Report,2025-07-01,https://elibrary.imf.org/view/journals/002/2025/181/002.2025.issue-181-en.xml,d0b065c4d5a8657cde4737f3708ebff34eeeb11e461f5907770a901ea243033a,fx_share,2024,0.0,pct_total_debt,59,53,"Annex III. Figure 3. Estonia: Public Debt Structure Indicators, Debt by Currency (Percent of GDP)",currency,public_sector,y,unknown,y,n,n,,figure,medium,"TEA-878 source adjudication. Review ID 4907f8a1143bd99a. Decision correct_value. Visible arithmetic: At 2024, foreign-currency debt is 0.0 percent of GDP and the currency-chart total is positive at about 23.6 percent of GDP; 100 x 0.0 / positive total = 0.0 percent of total debt.. Evidence: PDF page 59 (printed page 53) is an explicit Debt by Currency chart; its panel note states that the perimeter is consolidated public sector. | The canonical vector chart visibly encodes a foreign-currency band in 2015, then places the foreign-currency series exactly on the zero baseline from 2016 through the 2024 actual point. This distinguishes a genuine zero from an omitted series. | PDF page 58 selects consolidated-public-sector coverage and includes public nonfinancial corporations, the central bank, and other public financial corporations. | PDF pages 42, 45, 48, and 53 contain general-government totals, external debt, a foreign-currency debt rating, and external-sector evidence. None is equivalent to the selected DSA currency measure. | Manual source adjudication of an automatic invalid-arithmetic abstention. The exact zero is supported by the canonical vector chart, but confidence remains medium under schema v0's figure-read cap; no validator, schema, source, or gold-set gate was changed."
FIN,Finland,MAC_SRDSF,Finland: 2026 Article IV Consultation-Press Release; and Staff Report,2026-01-01,https://elibrary.imf.org/view/journals/002/2026/006/002.2026.issue-006-en.xml,1c5b89afb65e512b6e7648f26b822146851e0160274d7cd689795edf96adf088,fx_share,2024,2.3,pct_total_debt,43,37,"Figure I.3. Finland: Public Debt Structure Indicators, Debt by Currency (Percent of GDP)",currency,general_government,y,unknown,y,n,n,,figure,medium,"TEA-878 source adjudication. Review ID 6df66d36429b73b9. Decision correct_value. Visible arithmetic: Vector geometry on PDF page 43: 100 x 1.583862 / 69.351181 = 2.2838 percent of total debt, recorded as 2.3 percent. Table 3 on PDF page 39 reports the 2024 total at 82.1 percent of GDP, so the corresponding foreign-currency component is about 1.9 percent of GDP.. Evidence: PDF page 43 (printed page 37) is an explicit Debt by Currency chart; its panel note states that the perimeter is general government and its projection marker begins after 2024. | The canonical vector chart encodes a nonzero cyan foreign-currency band at the 2024 actual point. Its 1.583862-point thickness over the 69.351181-point total stack gives a 2.2838 percent share, rounded to 2.3 percent. | PDF page 39 (printed page 33), Table 3, reports 2024 general-government gross debt of 82.1 percent of GDP, corroborating the positive total and implying foreign-currency debt of about 1.9 percent of GDP. | PDF page 42 selects general-government coverage but includes the central bank, public nonfinancial corporations, and other public financial corporations in the baseline; the currency panel itself remains explicitly labeled general government. The local-linked vector layer is degenerate at zero in 2024. | Candidate pages 25 and 35 are macroprudential and financial-sector context. Candidate pages 47 and 49 are external-sector evidence; none was substituted for the DSA currency measure. | Manual source correction of an automatic invalid-arithmetic abstention. The 2024 vector chart contains a thin but nonzero foreign-currency band; the reviewed share is rounded to one decimal with a +/-0.1 percentage-point tolerance. Confidence remains medium under schema v0's figure-read cap, and no validator, schema, source, or gold-set gate was changed."
FJI,Fiji,MAC_SRDSF,Republic of Fiji: 2026 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for Republic of Fiji,2026-06-01,https://elibrary.imf.org/view/journals/002/2026/118/002.2026.issue-118-en.xml,49d020c11d5180b70842cd7d8b4dfb87aa92146b4520b937c9decd0818543520,fx_share,2025,35.0,pct_total_debt,45,41,Annex III. Figure 1. Fiji: Public Debt Structure Indicators — Debt by Currency,currency,central_government,unknown,unknown,unknown,unknown,n,,figure,medium,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=635db24a05512a0f644b2bf4efec3ed05adf8412ab9801800942b8f8bb485270. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/FJI.json. The upper chart is explicitly labeled “Debt by Currency (In percent of GDP)” and separates “Foreign currency” from “Local currency.” | The figure note explicitly states: “The perimeter shown is central government.” | For 2025, the last historical observation before the projection period, the stacked chart visibly shows foreign-currency debt at approximately 28 percent of GDP and total debt at approximately 80 percent of GDP. | Visible arithmetic implies an FX share of roughly 28 / 80 × 100 = 35 percent of total debt; the direct share field is left null because the source plots GDP components rather than labeling the percentage-of-total share. | The values are read from a figure rather than a numerical table, so they are approximate and confidence is capped below high."
FSM,"Micronesia, Federated States of",LIC_DSF,Federated States of Micronesia: 2023 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for Federated States of Micronesia,2024-03-04,https://elibrary.imf.org/view/journals/002/2024/066/002.2024.issue-066-en.xml,ca515bec138edb00cbc6847361afb00097c8031116dc1211bd2702d8982ef819,fx_share,Jun-23,94.3,pct_total_debt,64,3,Text Table 2. Stock of Debt Owed by the National and State Governments,residency,general_government,n,y,n,unknown,y,external_share_residency,table,medium,"TEA-878 source adjudication. Review ID 0d6f88a38e26c67c. Decision confirm_value. Visible arithmetic: US$54.7 million external debt / US$58.0 million total debt x 100 = 94.3103 percent, which rounds to 94.3 percent.. Evidence: Text Table 2 on PDF page 64 (printed page 3) reports Jun-23 total national-and-state-government debt of US$58.0 million and external debt of US$54.7 million. | The coverage text defines external debt using the residency criterion, so 94.3 percent is retained only as a residency proxy rather than relabeled as a currency measure. | PDF page 72 states that residency and currency criteria materially differ; its currency chart does not provide precise numeric labels that support a direct FX-share value. | The coverage pages establish national and state governments plus guarantees, no central bank, and no non-guaranteed SOE debt. | Retain 94.3 percent only as an explicit residency proxy. Direct currency composition remains unquantified; the currency chart is not precise enough to support a numeric inference."
GAB,Gabon,MAC_SRDSF,Gabon: 2024 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for Gabon,2024-05-01,https://elibrary.imf.org/view/journals/002/2024/144/002.2024.issue-144-en.xml,a16d911bece51b104d4f3caad6a7b2ea0b039fc44de59eae2c9647bd61ba1f13,fx_share,2023,52.3,pct_total_debt,54,49,Figure IV.3. Gabon: Public Debt Structure Indicators — Debt by Currency (Percent of GDP),currency,central_government,unknown,unknown,unknown,y,n,,figure,medium,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=9831c669c249d4e3b133a2e3312a3414f275490e9c1be8d94af7ebe215445a66. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/GAB.json. The top panel is explicitly labeled “Debt by Currency (Percent of GDP)” and separates Foreign currency, Local currency, and Local-linked debt. | The figure footnote states: “The perimeter shown is central government.” | The projection marker begins after the 2023 historical endpoint, so 2023 is the latest visible actual observation. | At 2023, the stacked chart visibly indicates foreign-currency debt of about 34 percent of GDP and total debt of about 65 percent of GDP. | Visible arithmetic: 34 ÷ 65 × 100 ≈ 52.3 percent of total debt. | A separate Local-linked category is shown, supporting domestic_fx_linked_flag=y; it is not included in the foreign-currency numerator."
GBR,United Kingdom,MAC_SRDSF,United Kingdom: 2026 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for United Kingdom,2026-07-01,https://elibrary.imf.org/view/journals/002/2026/172/002.2026.issue-172-en.xml,5097ec0fe9af420635d75f490880d501f3571235a17fe2c79718d0a7bc300657,fx_share,2025,0.0,pct_total_debt,60,55,Figure V.3. United Kingdom: Public Debt Structure Indicators,currency,general_government,unknown,unknown,unknown,unknown,n,,figure,medium,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=6a8fe2ab39aa0f15b1eee716a3b8230ee7f417f2c17a26ffffc1e1c1cef45d66. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/GBR.json. The top panel is explicitly labeled “Debt by Currency (Percent of GDP)” and its legend distinguishes Foreign currency, Local currency, and Local-linked debt. | The note directly below the currency panel states: “The perimeter shown is general government.” | The commentary states: “Debt is entirely in domestic currency,” which implies foreign-currency debt is 0 percent of total debt (100% domestic, so 100 − 100 = 0%). | The projection marker begins after the 2025 observation; therefore 2025 is the latest visible historical actual year. | No exact GDP-denominated foreign-currency or total-debt values are printed, so those component fields are not reported."
GEO,Georgia,MAC_SRDSF,Georgia: 2026 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for Georgia,2026-06-01,https://elibrary.imf.org/view/journals/002/2026/133/002.2026.issue-133-en.xml,66f55a4bc0c7c06c75cc97a0c5a6a3b428b81b22eff8ddea8bbc709ab2e9e30f,fx_share,2025,67.6,pct_total_debt,44,40,Figure 2. Georgia: Public Debt Structure Indicators — Debt by Currency (Percent of GDP),currency,general_government,unknown,unknown,unknown,y,n,,figure,medium,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=b5a5f1845ce5684ad633de30e31dd9f573e22c4fb11d77fa735a7cbd39d9caa2. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/GEO.json. Candidate 3 (PDF page 44, printed page 40) shows Figure 2, with the top panel labeled “Debt by Currency (Percent of GDP).” | The legend visibly separates “Foreign currency,” “Local currency,” and “Local-linked,” establishing a currency basis and indicating that domestic FX-linked debt is separately represented. | The projection marker begins after the 2025 endpoint; therefore 2025 is the latest visibly historical actual observation. | At 2025, the foreign-currency area is approximately 23 percent of GDP and the full stacked perimeter is approximately 34 percent of GDP. Visible arithmetic implies an FX share of roughly 23 / 34 × 100 = 67.6 percent, but the component values are figure estimates, so the direct-share field is left null for pipeline computation. | The note directly below the currency panel states: “The perimeter shown is general government.”"
GHA,Ghana,LIC_DSF,"Ghana: Fifth Review Under the Arrangement Under the Extended Credit Facility, Requests for Modification of the Monetary Policy Consultation Clause and Program Extension, and Financing Assurances Review-Press Release; Staff Report; and Statement by the Executive Director for Ghana",2025-12-22,https://elibrary.imf.org/view/journals/002/2025/343/002.2025.issue-343-en.xml,88d1061b9542bd902dbd4acc47c8824054c5b54bffdaaaa57e5ae14912f5fb36,fx_share,2024,53.0,pct_total_debt,104,5,Text Table 2. Ghana: Decomposition of Public Debt at end-2024 (Residency basis),residency,central_government,y,y,y,unknown,y,external_share_residency,table,medium,"TEA-878 source adjudication. Review ID 554dd9951ce66465. Decision correct_value. Visible arithmetic: US$29,585 million / US$55,783 million x 100 = 53.0359 percent, which rounds to the table's printed 53.0 percent.. Evidence: PDF page 104 (printed page 5), Text Table 2, is titled Decomposition of Public Debt at end-2024 (Residency basis). | The table reports total debt of US$55,783 million, equal to 100.0 percent of total debt and 69.7 percent of GDP. | The external row reports US$29,585 million, equal to 53.0 percent of total debt and 37.0 percent of GDP. | PDF page 103 states that the DSA classifies debt by creditor residency and that this includes local-currency domestic debt held by nonresidents. | The coverage table on PDF page 103 includes central government, central bank, government-guaranteed debt, and non-guaranteed SOE debt. | PDF page 105 does not contain Text Table 2; the original page pin was off by one and is corrected to PDF page 104. | Latest actual is end-2024. The table is physically on PDF page 104, not page 105. Retain the reported 53.0 percent only as an explicit residency proxy."
